movie_id,title,year,runtime,genres,director,top_cast,movie_keywords,overview,language,production_companies,production_countries,budget,revenue,vote_average,vote_count,popularity
1,Toy Story,1995,81.0,"['Animation', 'Comedy', 'Family']",John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",en,['Pixar Animation Studios'],['United States of America'],30000000.0,373554033.0,7.7,5415.0,21.946943
2,GoldenEye,1995,104.0,"['Adventure', 'Fantasy', 'Family']",Joe Johnston,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",en,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],65000000.0,262797249.0,6.9,2413.0,17.015539
3,Four Rooms,1995,101.0,"['Romance', 'Comedy']",Howard Deutch,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['fishing', 'best friend', 'duringcreditsstinger', 'old men']","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",en,"['Warner Bros.', 'Lancaster Gate']",['United States of America'],,,6.5,92.0,11.7129
4,Get Shorty,1995,127.0,"['Comedy', 'Drama', 'Romance']",Forest Whitaker,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",en,['Twentieth Century Fox Film Corporation'],['United States of America'],16000000.0,81452156.0,6.1,34.0,3.859495
5,Copycat,1995,106.0,['Comedy'],Charles Shyer,"['Steve Martin', 'Diane Keaton', 'Martin Short']","['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregcy', 'contraception', 'gynecologist']","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregt ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",en,"['Sandollar Productions', 'Touchstone Pictures']",['United States of America'],,76578911.0,5.7,173.0,8.387519
6,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,170.0,"['Action', 'Crime', 'Drama', 'Thriller']",Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",en,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],60000000.0,187436818.0,7.7,1886.0,17.924927
7,Twelve Monkeys,1995,127.0,"['Comedy', 'Romance']",Sydney Pollack,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",en,"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']","['Germany', 'United States of America']",58000000.0,,6.2,141.0,6.677277
8,Babe,1995,97.0,"['Action', 'Adventure', 'Drama', 'Family']",Peter Hewitt,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook']","['Babe', 'sheep pig', 'farm', 'family', 'friendship', 'perseverance', 'champion', 'sheep herder']","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",en,['Walt Disney Pictures'],['United States of America'],,,5.4,45.0,2.561161
9,Dead Man Walking,1995,106.0,"['Action', 'Adventure', 'Thriller']",Peter Hyams,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']","['terrorist', 'hostage', 'explosive', 'vice president']","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",en,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America'],35000000.0,64350171.0,5.5,174.0,5.23158
10,Richard III,1995,130.0,"['Adventure', 'Action', 'Thriller']",Martin Campbell,"['Pierce Bros', 'Sean Bean', 'Izabella Scorupco']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,en,"['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",58000000.0,352194034.0,6.6,1194.0,14.686036
